Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Description,Customer Reference,Quantity 1,Price,Stock Status,Mfg Std Lead Time,Comments,RoHS Status,Lead Free Status,REACH Status
311-100HRCT-ND,YAGEO (VA),RC0603FR-07100RL,RES SMD 100 OHM 1% 1/10W 0603,,10,"	0.01300",IN STOCK,22 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
399-1249-1-ND,KEMET (VA),C1206C104K5RAC7867,CAP CER 0.1UF 50V X7R 1206,,10,"	0.07500",IN STOCK,22 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
MMSZ5230B-FDICT-ND,DIODES INCORPORATED (VA),MMSZ5230B-7-F,DIODE ZENER 4.7V 500MW SOD123,,3,"	0.22000",23902 IN STOCK/NO DELIVERY DATE AVAILABLE,6 Weeks,No delivery date available,RoHS Compliant,Lead free,Unaffected Jun-2016
785-1215-1-ND,ALPHA & OMEGA SEMICONDUCTOR INC (VA),AOD4126,MOSFET N-CH 100V 43A TO252,,6,"	0.89000",IN STOCK,12 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
WM11910-ND,"MOLEX, LLC",428194214,MF SR VT HDR ASSY 062 CP 4CKT SI,,4,"	4.36000",IN STOCK,9 Weeks,,RoHS Compliant,Lead free,Unaffected Jun-2015
311-392KHRCT-ND,YAGEO (VA),RC0603FR-07392KL,RES SMD 392K OHM 1% 1/10W 0603,,10,"	0.01300",IN STOCK,22 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
311-53.6KHRCT-ND,YAGEO (VA),RC0603FR-0753K6L,RES SMD 53.6K OHM 1% 1/10W 0603,,10,"	0.01300",IN STOCK,22 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
311-41.2KHRCT-ND,YAGEO (VA),RC0603FR-0741K2L,RES SMD 41.2K OHM 1% 1/10W 0603,,10,"	0.01300",IN STOCK,22 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
311-10KGRCT-ND,YAGEO (VA),RC0603JR-0710KL,RES SMD 10K OHM 5% 1/10W 0603,,10,"	0.01000",IN STOCK,22 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
311-464KHRCT-ND,YAGEO (VA),RC0603FR-07464KL,RES SMD 464K OHM 1% 1/10W 0603,,10,"	0.01300",IN STOCK,22 Weeks,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
